pert_iname	classes
VU-0400195-3	Glutamate receptor modulator
VU-0404997-2	Glutamate receptor modulator
VU-0413807-2	Calcium channel blocker
VU-0415374-1	Glutamate receptor modulator
VU-0418946-1	HIF modulator
VU-0418947-2	HIF modulator
VU-0420363-1	SARS coronavirus 3C-like protease inhibitor
acyclovir	DNA polymerase inhibitor
azithromycin	Bacterial 50S ribosomal subunit inhibitor
BIX-02188	MEK inhibitor
carbidopa	Aromatic L-amino acid decarboxylase inhibitor
cefotaxime	Bacterial cell wall synthesis inhibitor
clopidogrel	Purinergic receptor antagonist
dicloxacillin	Bacterial cell wall synthesis inhibitor
ethambutol	Bacterial cell wall synthesis inhibitor
gatifloxacin	Bacterial DNA gyrase inhibitor
glycopyrrolate	Acetylcholine receptor antagonist
propranolol	Adrenergic receptor antagonist
lamivudine	Nucleoside reverse transcriptase inhibitor
methylprednisolone	Glucocorticoid receptor agonist
penicillin	Bacterial cell wall synthesis inhibitor
phenelzine	Monoamine oxidase inhibitor
ribavirin	Antiviral
rifapentine	RNA polymerase inhibitor
terazosin	Adrenergic receptor antagonist
dextrorphan	Glutamate receptor antagonist
cotinine	Nicotine metabolite
BRD-A17664363	Steroidogenic factor antagonist
BRD-A54632525	Lipoxygenase inhibitor
BRD-A61189834	XIAP inhibitor
BRD-A89049230	Thyroid hormone stimulant
BRD-A93048969	Acetylcholine receptor antagonist
BRD-A94297859	XIAP inhibitor
BRD-K00256256	Protein phosphatase inhibitor
BRD-K01265221	BCL inhibitor
BRD-K06217810	DYRK inhibitor
pyroxamide	HDAC inhibitor
givinostat	HDAC inhibitor
BRD-K19985802	Protein phosphatase inhibitor
BRD-K21009077	Dual specificity protein phosphatase inhibitors
ALW-II-49-7	Ephrin inhibitor
TUL-XXI039	Serine/threonine kinase inhibitor
BIX-01294	DNA methyltransferase inhibitor|Histone lysine methyltransferase inhibitor
cyproheptadine	Histamine receptor antagonist
ketoconazole	Sterol demethylase inhibitor
BRD-K32656671	Mannose-6-phosphate isomerate inhibitor
cytarabine	Ribonucleotide reductase inhibitor
diphenhydramine	Histamine receptor antagonist
2-(4-methoxybenzylthio)-6-methylpyrimidin-4-ol	Matrix metalloprotease inhibitor
BRD-K48969316	Caspase inhibitor
nandrolone	Imidazoline receptor agonist
BRD-K61106942	Pyruvate kinase isozyme activator
N-(3-acetamidophenyl)-3-chlorobenzamide	Glutamate receptor antagonist
apicidin	HDAC inhibitor
ML-167	CLK inhibitor|DYRK inhibitor
ALW-II-38-3	Ephrin inhibitor
BRD-K70751730	Histone lysine demethylase inhibitor
QW-BI-011	Histone lysine methyltransferase inhibitor
WT-171	HDAC inhibitor
entinostat	HDAC inhibitor
BRD-K85853281	Topoisomerase inhibitor
selegiline	Monoamine oxidase inhibitor
BRD-K87426499	Caspase inhibitor
nicorandil	Nitric oxide donor|Potassium channel activator
HG-6-64-01	RAF inhibitor
HG-5-88-01	Protein kinase inhibitor
JW-7-24-1	LCK Inhibitor
HG-5-113-01	Protein kinase inhibitor
BRD-K26947839	NADPH inhibitor
secnidazole	Acetylcholinesterase inhibitor|Microtubule inhibitor
1-benzylimidazole	Thromboxane synthase inhibitor
NM-PP1	Mutant kinase inhibitor
HU-211	Glutamate receptor antagonist
CAY-10470	NFkB pathway inhibitor
propylpyrazole	Estrogen receptor agonist
CAY-10578	Casein kinase inhibitor
treprostinil	Prostacyclin analog
larixinic-acid	Compund that interacts with metal centers
CP-466722	ATM kinase inhibitor
ipidacrine	Acetylcholinesterase inhibitor
BRD-K55055802	Membrane integrity inhibitor|Membrane permeability inhibitor
BRD-K20168484	Lipoxygenase inhibitor
zalcitabine	Nucleoside reverse transcriptase inhibitor
didanosine	Nucleoside reverse transcriptase inhibitor
niacin	NAD precursor with lipid lowering effects|Vitamin B
cladribine	Adenosine deaminase inhibitor|Ribonucleoside reductase inhibitor
BRD-K79511609	Adenosine receptor agonist
iloprost	Platelet aggregation inhibitor|Prostanoid receptor agonist
LM-1685	Cyclooxygenase inhibitor
BRD-K57954781	Apoptosis stimulant
deferiprone	Chelating agent
PD-173074	FGFR inhibitor|VEGFR inhibitor
GANT-61	GLI antagonist
moclobemide	Monoamine oxidase inhibitor
thiazolidinecarboxylic-acid	Reducing agent
mesalazine	Cyclooxygenase inhibitor|Lipoxygenase inhibitor|Prostanoid receptor antagonist
5-FP	Thymidylate synthase inhibitor
flucytosine	Other antifungal
5-methoxytryptamine	Serotonin receptor agonist
epigallocatechin-gallate-(-)	Bacterial DNA gyrase inhibitor
mofezolac	Cyclooxygenase inhibitor
aminoindazole	Ionophore
azauridine	Antiviral
fludarabine	DNA synthesis inhibitor
AF-DX-116	Acetylcholine receptor antagonist
CAY-10415	Insulin sensitizer
BRD-K15107389	Ribosomal protein inhibitor
nikkomycin	Chitinase inhibitor
BRD-K63954456	TNF production inhibitor
MW-STK33-3B	Potassium channel activator
BRD-A07614565	Botulin neurotoxin inhibitor
desloratadine	Histamine receptor antagonist
tacrine	Acetylcholinesterase inhibitor
decitabine	DNA methyltransferase inhibitor
6-aminochrysene	Transferase inhibitor
antimycin-a	ATP synthase inhibitor
BIX-01338	Histone lysine methyltransferase inhibitor
BAS-09104376	HIV integrase inhibitor
buthionine-sulfoximine	Glutathione transferase inhibitor
cytochalasin-d	Actin polymerization inhibitor
doxercalciferol	Vitamin D receptor agonist
depudecin	HDAC inhibitor
ebselen	Cyclooxygenase inhibitor|Glutathione peroxidase agonist|H+/K+-ATPase inhibitor|Nitric oxide synthase inhibitor
alvocidib	CDK inhibitor
carbetocin	Oxytocin receptor agonist
dasatinib	KIT inhibitor|Src inhibitor|Bcr-Abl kinase inhibitor|Ephrin inhibitor|PDGFR tyrosine kinase receptor inhibitor|Tyrosine kinase inhibitor
NVP-TAE684	ALK tyrosine kinase receptor inhibitor
AZD-7762	CHK inhibitor
GSK-429286A	Rho associated kinase inhibitor
GNF-2	Bcr-Abl kinase inhibitor
CP-724714	Tyrosine kinase inhibitor|EGFR inhibitor
CGP-60474	CDK inhibitor
GSK-461364	PLK inhibitor
AT-7519	CDK inhibitor|Cell cycle inhibitor
imatinib	PDGFR tyrosine kinase receptor inhibitor|Bcr-Abl kinase inhibitor|KIT inhibitor
latrunculin-b	Actin polymerization inhibitor|Unidentified pharmacological activity
BRD-K54331210	Alkaline phosphatase inhibitor
BRD-K71427192	XIAP inhibitor
BRD-K91485395	Dual specificity protein phosphatase inhibitors
heraclenol	Vitamin K antagonist
BRD-K52640952	Topoisomerase inhibitor
BRD-K97951054	Aurora kinase inhibitor|PIM kinase inhibitor|VEGFR inhibitor
OM-137	Aurora kinase inhibitor
PD-168077	Dopamine receptor agonist
varenicline	Acetylcholine receptor agonist
linezolid	Bacterial 50S ribosomal subunit inhibitor
parthenolide-(alternate-stereo)	NFkB pathway inhibitor
alitretinoin	Retinoid receptor agonist
sorafenib	RAF inhibitor|FLT3 inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor
axitinib	VEGFR inhibitor|PDGFR tyrosine kinase receptor inhibitor
saracatinib	Src inhibitor
afatinib	EGFR inhibitor
PD-184352	MEK inhibitor
deforolimus	MTOR inhibitor
lapatinib	EGFR inhibitor|ErbB2 inhibitor
panobinostat	HDAC inhibitor
motesanib	KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor
PD-0325901	MEK inhibitor|MAP kinase inhibitor|Protein kinase inhibitor
tandutinib	FLT3 inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor
obatoclax	BCL inhibitor
HA-14-1	BCL inhibitor
ZSTK-474	PI3K inhibitor
belinostat	HDAC inhibitor
GSK-1904529A	IGF-1 inhibitor|Insulin growth factor receptor inhibitor|Insulin receptor ligand
ZM-447439	Aurora kinase inhibitor
danusertib	Aurora kinase inhibitor|Growth factor receptor inhibitor
andarine	Androgen receptor modulator
barasertib-HQPA	Aurora kinase inhibitor
docetaxel	Tubulin inhibitor
PLX-4720	RAF inhibitor
SNS-314	Aurora kinase inhibitor
capecitabine	DNA synthesis inhibitor|Thymidylate synthase inhibitor
enobosarm	Androgen receptor modulator
BIIB-021	HSP inhibitor
raltitrexed	Thymidylate synthase inhibitor
JNJ-7706621	CDK inhibitor
epothilone-a	Microtubule stabilizing agent
floxuridine	DNA synthesis inhibitor
KI-16425	Lysophosphatidic acid receptor antagonist
ON-01910	PLK inhibitor
epothilone	Microtubule inhibitor
amonafide	Topoisomerase inhibitor
ispinesib	Kinesin inhibitor
cilomilast	Phosphodiesterase inhibitor
zibotentan	Endothelin receptor antagonist
raltegravir	HIV integrase inhibitor
sitagliptin	Dipeptidyl peptidase inhibitor
tofacitinib	JAK inhibitor
topotecan	Topoisomerase inhibitor
tunicamycin	GLCNAC phosphotransferase inhibitor
thiostrepton	FOXM1 inhibitor|Protein synthesis inhibitor
acarbose	Glucosidase inhibitor
actarit	Interleukin receptor agonist
BRD-A73929928	Adenosine receptor agonist
alosetron	Serotonin receptor antagonist
alprazolam	Benzodiazepine receptor agonist
amlexanox	Histamine receptor modulator
ampiroxicam	Cyclooxygenase inhibitor
anastrozole	Aromatase inhibitor
argatroban	Thrombin inhibitor
aripiprazole	Serotonin receptor agonist|Serotonin receptor antagonist
artemether	Antimalarial agent
atracurium	Acetylcholine receptor antagonist
azelastine	Histamine receptor antagonist
balsalazide	Cyclooxygenase inhibitor
beclometasone	Glucocorticoid receptor agonist
benactyzine	Acetylcholine receptor antagonist
benidipine	Calcium channel blocker
benproperine	Antitussive
bifonazole	Sterol demethylase inhibitor
buflomedil	Adrenergic receptor antagonist|Calcium channel blocker
carmofur	Thymidylate synthase inhibitor
cefaclor	Bacterial cell wall synthesis inhibitor
cefatrizine	Bacterial cell wall synthesis inhibitor
cefdinir	Bacterial cell wall synthesis inhibitor
cefpodoxime	Bacterial cell wall synthesis inhibitor
cephalexin	Bacterial cell wall synthesis inhibitor
cerivastatin	HMGCR inhibitor
cetraxate	Mucus protecting agent
chlordiazepoxide	Benzodiazepine receptor agonist
clarithromycin	Bacterial 50S ribosomal subunit inhibitor
clofazimine	GK0582 inhibitor
clotrimazole	Cytochrome P450 inhibitor|Imidazoline ligand
corticosterone	Mineralocorticoid receptor agonist
cycloserine-(d)	Bacterial cell wall synthesis inhibitor
dehydrocholic-acid	Bile acid
dexbrompheniramine	Histamine receptor antagonist
dexchlorpheniramine	Histamine receptor antagonist
dichloroacetic-acid	Pyruvate dehydrogenase kinase inhibitor
diphenoxylate	Opioid receptor agonist
diphencyprone	Immunostimulant
dofetilide	Potassium channel blocker
dolasetron	Serotonin receptor antagonist
doxapram	Potassium channel blocker
efavirenz	HIV protease inhibitor
enalaprilat	Angiotensin converting enzyme inhibitor
esmolol	Adrenergic receptor antagonist
esomeprazole	ATPase inhibitor
BRD-K47448802	Acetylcholine receptor agonist
ethylestrenol	Progesterone receptor agonist
ethinylestradiol	Estrogen receptor agonist
famotidine	Histamine receptor antagonist
fenpiverinium	Acetylcholine receptor antagonist
flubendazole	Tubulin inhibitor
flurbiprofen-(+/-)	Cyclooxygenase inhibitor
tegafur	Thymidylate synthase inhibitor
goserelin	Luteinizing hormone releasing hormone agonist
granisetron	Serotonin receptor antagonist
halometasone	Glucocorticoid receptor agonist
homoveratrylamine	Dopamine analog
honokiol	AKT inhibitor
hyperoside	Glucosidase inhibitor
idebenone	Calcium channel modulator
ifenprodil	Adrenergic receptor antagonist|Glutamate receptor antagonist
indatraline	Norepinephrine transporter inhibitor
indinavir	HIV protease inhibitor
ipriflavone	Bone resorption inhibitor
isoquercetin	Aldose reductase inhibitor
pitavastatin	HMGCR inhibitor
itopride	Dopamine receptor antagonist
kitasamycin	Protein synthesis inhibitor
methotrexate	Dihydrofolate reductase inhibitor
targinine	Nitric oxide synthase inhibitor
lacidipine	Calcium channel blocker
lansoprazole	ATPase inhibitor
latanoprost	Prostanoid receptor agonist
levetiracetam	Calcium channel blocker
levocetirizine	Histamine receptor antagonist
levofloxacin	Bacterial DNA gyrase inhibitor
levosulpiride	Dopamine receptor antagonist
lobeline	Acetylcholine receptor antagonist
lofepramine	Norepinephrine reuptake inhibitor|Serotonin reuptake inhibitor
lofexidine	Adrenergic receptor agonist
lomerizine	Calcium channel blocker
loratadine	Histamine receptor antagonist
lorazepam	Benzodiazepine receptor agonist
loteprednol	Glucocorticoid receptor agonist|Phospholipase inhibitor
loxoprofen	Cyclooxygenase inhibitor|Prostanoid receptor antagonist
mecillinam	Bacterial cell wall synthesis inhibitor
medroxyprogesterone	Progesterone receptor agonist
memantine	Glutamate receptor antagonist
mepivacaine	Potassium channel blocker|Sodium channel blocker
meropenem	Bacterial cell wall synthesis inhibitor
mestanolone	Androgenic steroid
methandriol	Androgenic steroid
metronidazole	DNA inhibitor
midazolam	Benzodiazepine receptor agonist
miglitol	Glucosidase inhibitor
milnacipran	Serotonin reuptake inhibitor
montelukast	Leukotriene receptor antagonist
mosapride	Serotonin receptor agonist
moxifloxacin	Bacterial DNA gyrase inhibitor
hexamethylenebisacetamide	AKT inhibitor|Differentiation inducer|NFKB pathway inhibitor
naftopidil	Adrenergic receptor antagonist
nelfinavir	HIV protease inhibitor
nialamide	Monoamine oxidase inhibitor
nicotinamide	Protein synthesis stimulant
nifekalant	Potassium channel blocker
nimetazepam	GABA receptor agonist
nisoldipine	Calcium channel blocker
nitazoxanide	Pyruvate ferredoxin oxidoreductase inhibitor
nitrazepam	Benzodiazepine receptor agonist
nornicotine	Acetylcholine receptor agonist
olanzapine	Dopamine receptor antagonist|Serotonin receptor antagonist
oligomycin-c	ATP synthase inhibitor|ATPase inhibitor
olmesartan	Angiotensin receptor antagonist
olopatadine	Histamine receptor antagonist
orlistat	Lipase inhibitor
ormetoprim	Bacterial antifolate
oxiconazole	Bacterial cell wall synthesis inhibitor
oxymetholone	Androgen receptor agonist
oxyphenonium	Cholinergic receptor antagonist
palonosetron	Serotonin receptor antagonist
pancuronium	Acetylcholine receptor antagonist
parecoxib	Cyclooxygenase inhibitor
pazufloxacin	Topoisomerase inhibitor
pefloxacin	Bacterial DNA gyrase inhibitor
pemoline	Dopamine receptor agonist
penciclovir	DNA directed DNA polymerase inhibitor
perospirone	Dopamine receptor antagonist|Serotonin receptor antagonist
phenprobamate	Muscle relaxant
polydatin	ICAM1 expression inhibitor
pidotimod	Interferon receptor agonist|Interleukin receptor agonist
pilocarpine	Acetylcholine receptor agonist
pramipexole	Dopamine receptor agonist
pterostilbene	Cyclooxygenase inhibitor|PPAR receptor agonist
rabeprazole	ATPase inhibitor|Gastrin inhibitor
reichstein	Androgen receptor antagonist
rifabutin	Protein synthesis inhibitor
rifaximin	RNA synthesis inhibitor
ritonavir	HIV protease inhibitor
rolitetracycline	Bacterial 30S ribosomal subunit inhibitor
ropivacaine	Sodium channel blocker
roxatidine-acetate	Histamine receptor antagonist
rufloxacin	Bacterial DNA gyrase inhibitor
salbutamol	Adrenergic receptor agonist
secoisolariciresinol	Antioxidant
sibutramine	Serotonin reuptake inhibitor
stavudine	DNA directed DNA polymerase inhibitor|Reverse transcriptase inhibitor
stiripentol	GABA uptake inhibitor
sulfasalazine	Antirheumatic drug|NFkB pathway inhibitor
sumatriptan	Serotonin receptor agonist
synephrine	Adrenergic receptor agonist
taxifolin	Opioid receptor antagonist
tegaserod	Serotonin receptor partial agonist
terbinafine	Fungal squalene epoxidase inhibitor
disulfiram	Aldehyde dehydrogenase inhibitor|DNA methyltransferase inhibitor|TRPV agonist
TFMPP	Serotonin receptor agonist|Serotonin receptor antagonist
tiagabine	GABA uptake inhibitor
tibolone	Estrogen receptor agonist|Androgen receptor agonist|Progesterone receptor agonist
tinidazole	Antiprotozoal agent
tolterodine	Acetylcholine receptor antagonist
topiramate	Carbonic anhydrase inhibitor|Glutamate receptor antagonist|Kainate receptor antagonist
tosufloxacin	Bacterial DNA gyrase inhibitor
tremulacin	Lipoxygenase inhibitor
triclabendazole	Microtubule inhibitor
oxcarbazepine	Sodium channel blocker
trimebutine	Opioid receptor agonist
troxipide	Glucosamine synthetase stimulant
urapidil	Adrenergic receptor antagonist
valaciclovir	DNA polymerase inhibitor
vecuronium	Acetylcholine receptor antagonist
vindesine	Tubulin inhibitor
vinorelbine	Tubulin inhibitor
nevirapine	Reverse transcriptase inhibitor
voriconazole	Cytochrome P450 inhibitor
xanthinol	Vasodilator
zafirlukast	Leukotriene receptor antagonist
zeranol	Estrogen receptor agonist
zolpidem	Benzodiazepine receptor agonist
AS-601245	JNK inhibitor
XMD-1150	Leucine rich repeat kinase inhibitor
KIN001-244	Phosphoinositide dependent kinase inhibitor
JNK-9L	JNK inhibitor
KIN001-242	Protein kinase inhibitor
A-443644	AKT inhibitor
torin-1	MTOR inhibitor|PI3K inhibitor
XMD-892	MAP kinase inhibitor
GDC-0941	PI3K inhibitor
dacinostat	HDAC inhibitor
XMD-885	Leucine rich repeat kinase inhibitor|MAP kinase inhibitor
torin-2	MTOR inhibitor
WZ-4002	EGFR inhibitor
JWE-035	Aurora kinase inhibitor
CG-930	JNK inhibitor
WZ-3105	CLK2 inihibitor
XMD-1499	EPHB3 inhibitor
WZ-4-145	EGFR inhibitor
WZ-7043	CSF1R inhibitor
QL-X-138	MTOR inhibitor
WH-4023	Src inhibitor
ZG-10	JNK inhibitor
QL-XI-92	DDR1 inhibitor
THZ-2-98-01	IRAK1 inhibitor
QL-XII-47	BTK inhibitor|Cytoplasmic tyrosine protein kinase BMX inhibitor
somatostatin	Somatostatin receptor agonist
AS-604850	PI3K inhibitor
CAY-10577	Casein kinase inhibitor
CAY-10585	HIF modulator
neurodazine	Neurogenesis of non-pluripotent C2C12 myoblast inducer
HNHA	HDAC inhibitor
oxalomalic-acid	Isocitrate dehydrogenase inhibitor
chromomycin-a3	DNA binding agent
calmidazolium	Calcium channel blocker|Calmodulin antagonist
GSK-3-inhibitor-IX	Glycogen synthase kinase inhibitor|Lipoxygenase inhibitor
celastrol	Anti-inflammatory agent|Antioxidant|HSP inhibitor|NFkB pathway inhibitor|Topoisomerase inhibitor
ochratoxin-a	Phenylalanyl tRNA synthetase inhibitor
KU-55933	ATM kinase inhibitor
GW-501516	PPAR receptor agonist|Insulin sensitizer
tenovin-1	SIRT inhibitor|TP53 activator
7,8-dihydro-L-biopterin	Dihydroneopterin aldolase inhibitor
OSI-027	MTOR inhibitor
APHA-compound-8	HDAC inhibitor
tyrphostin-AG-1295	PDGFR tyrosine kinase receptor inhibitor
BI-78D3	JNK inhibitor
BCI-hydrochloride	Protein phosphatase inhibitor
retinol	Retinoid receptor ligand
retinyl-acetate	Vitamin analog
cholic-acid	Bile acid
deoxycholic-acid	G protein coupled receptor agonist|Unidentified pharmacological activity|Biliverdin reductase A activator|G protein-coupled receptor agonist
chenodeoxycholic-acid	11-beta-HSD1 inhibitor|FXR agonist
taurocholic-acid	Bile acid
taurodeoxycholic-acid	Bile acid
TCPOBOP	CAR agonist
lithocholic-acid	MDM inhibitor|PXR ligand|Tyrosine phosphatase inhibitor|Vitamin D receptor ligand|FXR antagonist|Vitamin D receptor agonist
farnesol	FXR agonist|Monoamine oxidase B inhibitor|NFkB pathway activator|PPAR receptor agonist
androstenol	GABA receptor modulator
androstanol	CAR antagonist
androstenedione	Cytochrome P450 inhibitor
D-609	Phospholipase inhibitor
cyclazosin	Adrenergic receptor antagonist
2-aminopurine	Serine/threonine kinase inhibitor
ruxolitinib	JAK inhibitor
CGP-52411	EGFR inhibitor
calcifediol	Vitamin D receptor agonist
ebelactone-b	Lipase inhibitor
ellipticine	Topoisomerase inhibitor
H-7	PKA inhibitor
sphingosine	Ceramidase inhibitor
staurosporine	PKC inhibitor
tyrphostin-51	EGFR inhibitor
tyrphostin-A9	Protein tyrosine kinase inhibitor|Tyrosine kinase inhibitor
dexketoprofen	Cyclooxygenase inhibitor
EI-231	Casein kinase inhibitor
lavendustin-c	EGFR inhibitor
EI-247	IGF-1 inhibitor
tyrphostin-AG-126	ERK1 and ERK2 phosphorylation inhibitor
EI-273	PKC inhibitor
5-iodotubercidin	Adenosine kinase inhibitor
terreic-acid-(-)	Bruton's tyrosine kinase (BTK) inhibitor
tyrphostin-AG-1288	TNF production inhibitor
EI-346-erlotinib-analog	EGFR inhibitor
eicosatetraynoic-acid	Cyclooxygenase inhibitor|Lipoxygenase inhibitor
flupirtine	Glutamate receptor antagonist
acetyl-farnesyl-cysteine	Inhibitor of methylation of endogenous isoprenylated proteins
acetyl-geranygeranyl-cysteine	Inhibitor of methyl esterification of geranylgeranylated proteins
acetyl-geranyl-cysteine	Isoprenylated protein methylation inhibitor
geranylgeraniol	Farnesyltransferase inhibitor
GSK-0660	PPAR receptor antagonist
isotretinoin	Retinoid receptor agonist
acitretin	Retinoid receptor agonist
4-hydroxyretinoic-acid	Retinoid receptor binder
GR-206	Aryl hydrocarbon receptor ligand
3,3'-diindolylmethane	CHK inhibitor|Cytochrome P450 activator|Indoleamine 2,3-dioxygenase inhibitor
hydroxycholesterol	LXR agonist
epoxycholesterol	LXR agonist
GR-235	Estrogen receptor agonist|FXR antagonist|Progesterone receptor agonist
tetradecylthioacetic-acid	Lipid peroxidase inhibitor
hyperforin	Cyclooxygenase inhibitor|Dopamine uptake inhibitor|Interleukin receptor antagonist|Lipoxygenase inhibitor|Serotonin reuptake inhibitor
BRD-K61463582	Aryl hydrocarbon receptor agonist
rifampicin	RNA polymerase inhibitor
HC-toxin	HDAC inhibitor
HO-013	PPAR receptor agonist
WYE-125132	MTOR inhibitor
nilotinib	Bcr-Abl kinase inhibitor|Abl kinase inhibitor
MLN-8054	Aurora kinase inhibitor|Mitotic inhibitor|Protein kinase inhibitor
enzastaurin	PKC inhibitor
AZD-6482	PI3K inhibitor
TAK-715	P38 MAPK inhibitor
PF-562271	Focal adhesion kinase inhibitor
BMS-345541	IKK inhibitor
SB-590885	RAF inhibitor
PHA-793887	CDK inhibitor
AZ-628	RAF inhibitor
BX-912	Pyruvate dehydrogenase kinase inhibitor
NU-7441	P-glycoprotein inhibitor|DNA dependent protein kinase inhibitor
KIN001-127	ITK inhibitor
KIN001-055	EGFR inhibitor|JAK inhibitor|Leukotriene inhibitor|Mediator release inhibitor
quizartinib	FLT3 inhibitor
palbociclib	CDK inhibitor
crizotinib	ALK tyrosine kinase receptor inhibitor
gefitinib	EGFR inhibitor
erlotinib	EGFR inhibitor
GSK-1070916	Aurora kinase inhibitor
aurora-a-inhibitor-i	Aurora kinase inhibitor
K-858	Kinesin-like spindle protein inhibitor
lestaurtinib	FLT3 inhibitor|Growth factor receptor inhibitor|JAK inhibitor
L-2167	PPAR receptor agonist
lopinavir	HIV protease inhibitor
mirin	MRE11A exonuclease inhibitor
BRD-K67258146	Mannose-6-phosphate isomerate inhibitor
PU-H71	HSP inhibitor
prostaglandin	Prostanoid receptor antagonist
pirarubicin	Topoisomerase inhibitor
reversine	Aurora kinase inhibitor
lypressin	Vasopressin receptor agonist
linifanib	PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor
bosutinib	Src inhibitor|Abl kinase inhibitor|Bcr-Abl kinase inhibitor
cediranib	VEGFR inhibitor|KIT inhibitor
dovitinib	EGFR inhibitor|FGFR inhibitor|FLT3 inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor
canertinib	EGFR inhibitor
pazopanib	VEGFR inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor
sunitinib	FLT3 inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor
masitinib	KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|Src inhibitor
SU-11274	Hepatocyte growth factor receptor inhibitor|Tyrosine kinase inhibitor
brivanib	FGFR inhibitor|VEGFR inhibitor
GDC-0879	RAF inhibitor
XL-147	PI3K inhibitor
everolimus	MTOR inhibitor
mocetinostat	HDAC inhibitor
TGX-221	PI3K inhibitor
WZ-3146	EGFR inhibitor
JNJ-26481585	HDAC inhibitor
plinabulin	Tubulin inhibitor
danoprevir	HCV inhibitor
aprepitant	Tachykinin antagonist
dexrazoxane	Chelating agent|Topoisomerase inhibitor
entecavir	DNA replication inhibitor|Reverse transcriptase inhibitor
cinacalcet	Calcium channel activator
WYE-354	MTOR inhibitor
VX-745	P38 MAPK inhibitor
safinamide	Dopamine uptake inhibitor|Glutamate inhibitor|Monoamine oxidase inhibitor
AS-703026	MEK inhibitor
VX-222	HCV inhibitor
zosuquidar	P-glycoprotein inhibitor
iloperidone	Dopamine receptor antagonist|Serotonin receptor antagonist
HMN-214	PLK inhibitor
elvitegravir	HIV integrase inhibitor
vicriviroc	CC chemokine receptor antagonist
rivaroxaban	Coagulation factor inhibitor
VX-702	P38 MAPK inhibitor
SB-525334	TGF beta receptor inhibitor
oleoylethanolamide	Cannabinoid receptor agonist|Glucose dependent insulinotropic receptor agonist|Potassium channel blocker|PPAR receptor agonist
tenofovir	Reverse transcriptase inhibitor|HIV integrase inhibitor
teicoplanin	Bacterial cell wall synthesis inhibitor
tamibarotene	Retinoid receptor agonist
verrucarin-a	Protein synthesis inhibitor
xanthohumol	ATPase inhibitor
ziprasidone	Dopamine receptor antagonist|Serotonin receptor antagonist
epinephrine-(racemic)	Carbonic anhydrase activator
norepinephrine	Adrenergic receptor agonist
genipin	Choleretic agent
orciprenaline	Adrenergic receptor agonist
bicuculline	GABA receptor antagonist
cyclophosphamide	DNA alkylating agent
L-ascorbyl-6-palmitate	Antioxidant
4-hydroxy-2-nonenal	Cytotoxic lipid peroxidation product
dihydroxyphenylglycine	Glutamate receptor agonist
streptozotocin	DNA alkylating agent
nomifensine	Dopamine uptake inhibitor|Noradrenaline uptake inhibitor
17-hydroxyprogesterone-caproate	Progesterone receptor agonist
fosinopril	Angiotensin converting enzyme inhibitor
3-methyl-GABA	GABA aminotransferase activator
tetrahydrobiopterin	Nitric oxide stimulant|Nitric oxide synthase stimulant|Phenylalanine 4-hydroxylase stimulant
ascorbic-acid	Antioxidant
cephalosporanic-acid	Bacterial cell wall synthesis inhibitor
4-carboxy-3-hydroxyphenylglycine-(RS)	Glutamate receptor agonist|Glutamate receptor antagonist
1-monopalmitin	P-glycoprotein inhibitor
3-matida	Glutamate receptor antagonist
bimatoprost	Prostanoid receptor agonist
gestrinone	Progesterone receptor antagonist
acadesine	AMPK activator
tubastatin-a	HDAC inhibitor
JNJ-38877605	Tyrosine kinase inhibitor
Merck60	HDAC inhibitor
GSK-1059615	PI3K inhibitor
1,2,3,4,5,6-hexabromocyclohexane	JAK inhibitor
tolcapone	Catechol O methyltransferase inhibitor
aspirin	Cyclooxygenase inhibitor
droxinostat	HDAC inhibitor
trimidox	Ribonucleotide reductase inhibitor
BRD-K13872703	Chloride channel blocker|Purinergic receptor antagonist
4-(2-amino-ethyl)-benzenesulfonamide	Carbonic anhydrase inhibitor
CS-110266	Dopamine receptor agonist
SA-94315	Caspase inhibitor
1-phenylbiguanide	Serotonin receptor agonist
tienilic-acid	Sodium/potassium/chloride transporter inhibitor
edaravone	Nootropic agent
erbstatin-analog	EGFR inhibitor|Tyrosine kinase inhibitor
III606050	Cytochrome P450 inhibitor
acepromazine	Dopamine receptor antagonist
dopamine	Dopamine receptor agonist
methapyrilene	Histamine receptor antagonist
bromfenac	Cyclooxygenase inhibitor
LY-2140023	Glutamate receptor agonist
7,4'-dihydroxyflavone	Opioid receptor antagonist
NCH-51	HDAC inhibitor
abiraterone	Androgen biosynthesis inhibitor
NSC-94258	Anticancer agent
MPEP	Glutamate receptor antagonist
10-hydroxycamptothecin	Topoisomerase inhibitor
heliomycin	ATP synthase inhibitor|Other antibiotic
phenylbutyrate	HDAC inhibitor
eprosartan	Angiotensin receptor antagonist
